,Title,Year,Certificate,Rating,Metascore,Votes,Gross,Movie_time_min,History,Biography,Horror,Adventure,Animation,Sport,Thriller,Drama,Western,Action,Mystery,Music,Romance,Film-Noir,War,Comedy,Family,Musical,Sci-Fi,Fantasy,Crime
0,15,2008,PG-13,9.0,84.0,2428474,534858444.0,152,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,45,2003,PG-13,8.9,94.0,1715249,377845905.0,201,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,9,2010,PG-13,8.8,74.0,2179206,292576195.0,148,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,49,2001,PG-13,8.8,92.0,1736538,315544750.0,178,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,15,2016,,8.7,,106888,,135,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
5,9,2021,,8.7,,104201,,135,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,37,2002,PG-13,8.7,87.0,1550670,342551365.0,179,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7,10,1999,R,8.7,73.0,1767904,171479930.0,136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,46,1980,PG,8.7,82.0,1208827,290475067.0,124,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,34,1977,PG,8.6,90.0,1280635,322740140.0,121,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10,9,1962,Not Rated,8.6,85.0,49581,,133,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
11,13,1954,Not Rated,8.6,98.0,329900,269061.0,207,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,9,2000,R,8.5,67.0,1403873,187705427.0,155,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,22,1994,R,8.5,64.0,1085739,19501238.0,110,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
14,26,1991,R,8.5,75.0,1036625,204843350.0,137,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,10,2018,Not Rated,8.4,,35226,,170,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
16,6,2016,Not Rated,8.4,,172221,12391761.0,161,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,33,2018,PG,8.4,87.0,431371,190241310.0,117,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,17,2019,PG-13,8.4,78.0,948118,858373000.0,181,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,22,2018,PG-13,8.4,68.0,930705,678815482.0,149,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,21,2012,PG-13,8.4,78.0,1583398,448139099.0,164,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,6,2003,R,8.4,77.0,543070,707481.0,120,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
22,17,1997,PG-13,8.4,76.0,366414,2375308.0,134,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
